decade,duration,key_song,loudness,mode,tempo,time_signature,Last_Position,number_1s,weeks_at_number_1,chart_appearances,speed_general,gnr_Blues,gnr_Country,gnr_Folk,gnr_Funk,gnr_House Electronic Trance,gnr_Jazz,gnr_Latin,gnr_Metal,gnr_Pop,gnr_Pop Standards,gnr_Punk,gnr_Rap Hip Hop,gnr_Rhythm and Blues,gnr_Rock,gnr_Rock and Roll,gnr_Ska Reggae Dancehall,is_top40
0.511171413,0.073835871,0,-0.00211878,0.000258167,0.03114996,0.000774502,0.024009566,0.001290837,0.00593785,0.228994467,0.000774502,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.507571903,0.061011168,0.001025398,-0.001514,0,0.030733222,0.001025398,0.024096848,0.003076193,0.008203182,0.219691475,0.000512699,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.530253818,0.098552225,0.002410245,-0.001623166,0,0.030961735,0.00107122,0.023566836,0.00321366,0.008569759,0.22950885,0.00053561,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.509095049,0.071736121,0.000257119,-0.00223359,0.000257119,0.028989363,0.001028475,0.02391204,0.001799831,0.002828306,0.168926994,0.000514237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.511150198,0.100164786,0.002581567,-0.003565402,0,0.033865766,0.001032627,0.02128267,0.001807097,0.002839723,0.169608929,0.00077447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.520102754,0.066457574,0.000788034,-0.003386972,0,0.022923398,0.001050713,0.021655426,0.001838747,0.00288946,0.17257955,0.000525356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.525063211,0.054105498,0.002665295,-0.002977135,0,0.027323543,0.001066118,0.021972939,0.001865707,0.002931825,0.175109914,0.000533059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.496883124,0.096114261,0.00225856,-0.001264292,0,0.029369306,0.001003804,0.018319428,0.002760462,0.007528532,0.152327301,0.000501902,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.502243661,0.052008988,0.002804406,-0.00153707,0.000254946,0.029203302,0.001019784,0.019375898,0.002804406,0.007648381,0.154752235,0.000509892,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.527501969,0.098270671,0.002945442,-0.001130514,0.000267767,0.031927257,0.00107107,0.023295772,0.002945442,0.008033025,0.162534871,0.000535535,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.529390172,0.0827676,0.00134363,-0.002803887,0.000268726,0.041528912,0.001074904,0.021766804,0.000806178,0.001612356,0.162579215,0.000806178,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.516991379,0.062458857,0.002886754,-0.003115332,0.000262432,0.027475861,0.001049729,0.021257006,0.000787297,0.001574593,0.158771464,0.000524864,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.505854807,0.059527359,0.001277411,-0.000709219,0.000255482,0.033916287,0.000255482,0.021205025,0.002043858,0.004343198,0.14920162,0.000766447,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.511350532,0.045453381,0,-0.001849643,0.000258258,0.036501389,0.000258258,0.019885854,0.000774774,0.001291289,0.150822581,0.000774774,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.530522535,0.061358414,0.001875585,-0.001793059,0.000267941,0.030662595,0.000267941,0.023310839,0.000803822,0.001339703,0.156477354,0.000535881,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.508389155,0.041760538,0.002593822,-0.002840495,0.000259382,0.021766837,0.001296911,0.021383706,0.004928262,0.01400664,0.150960453,0.000518764,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.51487918,0.050962531,0.001050774,-0.005036096,0.000262693,0.033183963,0.001050774,0.021656688,0.001313467,0.004991176,0.149472578,0.00078808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.510080215,0.061570289,0.000772849,-0.004220012,0.000257616,0.03058781,0.000772849,0.019063604,0.002833779,0.007986104,0.144265111,0.000515233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.527940242,0.073325034,0.000533273,-0.002252812,0,0.039924548,0.001066546,0.029063377,0.002933001,0.008265731,0.149316432,0.000799909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.538569871,0.042590985,0.001923464,-0.003416347,0.000274781,0.04331668,0.001099122,0.024730249,0.000549561,0.000549561,0.151404081,0.000824342,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.51605172,0.057860344,0.00234569,-0.001813739,0,0.022349991,0.001824425,0.012770977,0.000521264,0.000521264,0.143608332,0.000521264,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.508482317,0.118902683,0.001284046,-0.003095579,0.000256809,0.030257266,0.001027237,0.021171588,0.001540856,0.00333852,0.138163377,0.000513619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.517964209,0.057054941,0.001051704,-0.002152838,0.000262926,0.021289381,0.001051704,0.01840482,0.002366334,0.007099002,0.135406887,0.000525852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.487797984,0.05838794,0.000246363,-0.001737842,0.000246363,0.031253562,0.00098545,0.020310358,0.000246363,0.000492725,0.115051343,0.000739088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.526539564,0.062275999,0.002138232,-0.002969202,0.000267279,0.032500855,0.001069116,0.022034721,0.000267279,0.000534558,0.124819277,0.000801837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.51927368,0.067138415,0.001311297,-0.003484641,0.000262259,0.027687778,0.001049038,0.021620906,0.000262259,0.000524519,0.122475156,0.000524519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
